paper_id,method_name,r_precision,ip@3,ir@3,jaccard@3,map,mrr,ir@4,ir@5,ir@6,ir@7
2018_G_B334.pdf-9618d410-024a-4368-8c34-abb687df4146,Proposed-v2,0.5,0.666667,1.0,0.666667,0.833333,1.0,1.0,1.0,1.0,1.0
2018_G_C008.pdf-3e10abb3-a9d0-4ecb-898d-01d2020ed451,Proposed-v2,0.333333,0.333333,0.333333,0.2,0.633333,1.0,0.333333,0.666667,1.0,1.0
2018_G_D029.pdf-10d238b4-ee16-4891-9522-f7e895f2f545,Proposed-v2,0.5,0.666667,1.0,0.666667,0.583333,0.5,1.0,1.0,1.0,1.0
2023_G_A092.pdf-5db87c85-f001-44bb-9cd1-933c32b9efdf,Proposed-v2,0.5,0.333333,0.25,0.166667,0.636111,1.0,0.5,0.75,0.75,0.75
2023_G_A127.pdf-c7af97bb-63f5-4e7a-ae28-7f7b3d4f016c,Proposed-v2,0.428571,0.666667,0.285714,0.25,0.511822,0.5,0.285714,0.428571,0.428571,0.428571
2023_G_A175.pdf-8d4a4c05-3206-497f-bcd2-34719146185f,Proposed-v2,0.4,0.666667,0.4,0.333333,0.619048,1.0,0.4,0.4,0.4,0.6
2023_G_B226.pdf-138a457c-a3d1-4dec-a2b6-3b5dc1265cc7,Proposed-v2,0.5,0.666667,0.25,0.222222,0.692162,1.0,0.375,0.5,0.5,0.5
2023_G_B311.pdf-4c40818a-19f0-4e8f-bea2-d2c28c9a7a93,Proposed-v2,0.333333,0.333333,0.333333,0.2,0.557576,1.0,0.333333,0.666667,0.666667,0.666667
2023_G_C050.pdf-2049a35a-b3ce-49bb-a0db-827272b74086,Proposed-v2,0.333333,0.333333,0.333333,0.2,0.425,0.5,0.333333,0.666667,0.666667,0.666667
2023_G_C228.pdf-b2387ac6-a2c5-4f0e-a228-e82e75c63418,Proposed-v2,0.0,0.0,0.0,0.0,0.052632,0.052632,0.0,0.0,0.0,0.0
2023_G_E032.pdf-a2ac9d24-a978-4750-bdfc-d48988ea3d38,Proposed-v2,0.2,0.333333,0.2,0.142857,0.200707,0.5,0.2,0.2,0.2,0.2
2023_G_E176.pdf-6a7252f2-fcac-48bd-9de1-2adf091599c5,Proposed-v2,0.333333,0.333333,0.333333,0.2,0.238138,0.5,0.333333,0.333333,0.333333,0.333333
2016_G_A028.pdf-6e4c52f4-be1a-43fe-9a4f-f2f6fb479a0c,Qwen3-VL-Rerank-ImgCap+Link,0.5,0.333333,0.5,0.25,0.416667,0.5,0.5,0.5,1.0,1.0
2016_G_A194.pdf-b86a85b1-ff13-48a6-90bc-0afc1ed6de24,Qwen3-VL-Rerank-ImgCap+Link,0.5,0.333333,0.5,0.25,0.571429,1.0,0.5,0.5,0.5,0.5
2016_G_A433.pdf-ace5f580-0291-4b74-8e8a-3e24514c4563,Qwen3-VL-Rerank-ImgCap+Link,0.333333,0.333333,0.333333,0.2,0.6,1.0,0.666667,0.666667,0.666667,0.666667
2016_G_B022.pdf-45c1977b-4052-4367-8a33-85a423730b3d,Qwen3-VL-Rerank-ImgCap+Link,0.666667,0.666667,0.666667,0.5,0.72549,1.0,0.666667,0.666667,0.666667,0.666667
