k,paper_id,figure_id,caption,first_hit_method
3,2018_G_A466.pdf-f42c5f5a-ee2d-4f66-84b0-d3e32153a4e5,9e5d3a29abda580e73281d9aab85720a5a1d8e7de09bc3296791a238d6dc7ccd,图1：模型示意图,DirectOnly
3,2018_G_B203.pdf-cd92e332-dd42-40fe-9530-03ab83e77d3a,0668dd8d2a0e5cf7cc45ba194b77d944a5525a5a66f1f4e7e20f4f97ad8556b9,图4 情况3-1的流程图,Direct+Link
3,2018_G_B203.pdf-cd92e332-dd42-40fe-9530-03ab83e77d3a,5ee82327435f576fe84b42c0b43ef9631463e5f0c2bff59038d2d8e6d8f0d19c,图5 情况3-2的流程图,never
3,2018_G_B203.pdf-cd92e332-dd42-40fe-9530-03ab83e77d3a,b75c754c6f427f3962d93eebca7cad5d66fe8163a1277618684324e361a1752a,图1 模型思维导图,DirectOnly
3,2018_G_B203.pdf-cd92e332-dd42-40fe-9530-03ab83e77d3a,f16431a810ef3d2e6ff14f3f5cf7972ed57bc101137b515847bab12d00657ef1,图3 情况2的流程图,Direct+Link
3,2018_G_B203.pdf-cd92e332-dd42-40fe-9530-03ab83e77d3a,f764b25c730e120c350c16dedaf2ec55f622a731c43c9ac69baea37ec0633ee1,图2 情况1的流程图,LG-JSSF+ClusterAdd
3,2018_G_B334.pdf-9618d410-024a-4368-8c34-abb687df4146,889d4bc5d542eaf54f56c93e99312cff04b35246da7c7d4b620a481663f94956,图1 带约束的队列调度示意图,DirectOnly
3,2018_G_B334.pdf-9618d410-024a-4368-8c34-abb687df4146,bf317e4e318aedb3bae59c11dcfff990b335038700b345ca1500029a1a0268e6,图2 最优状态转移图模型示意图,DirectOnly
3,2018_G_C008.pdf-3e10abb3-a9d0-4ecb-898d-01d2020ed451,52ab1afa884f8692f5ac04e9f5b26762d43ef9fb5d9316a03826e604bbf093da,图7各层评价目标,never
3,2018_G_C008.pdf-3e10abb3-a9d0-4ecb-898d-01d2020ed451,6e9ff918b2015bfca950af2bd29ce3b00c608adee57489207eb7645cf43c699a,图6会员与非会员每日消费总金额情况,Direct+Link
3,2018_G_C008.pdf-3e10abb3-a9d0-4ecb-898d-01d2020ed451,a3ddcdf0742c840a0a342572b82d78cdd5d4d2c3e7de7bb92376783e6a7d6e7d,图1会员消费特征指标,Direct+Link+Layout
3,2018_G_D029.pdf-10d238b4-ee16-4891-9522-f7e895f2f545,cfe682066869be7228c8ebc83633109ca53c0fa6f41091e7a8c7f3269a2ac4ec,图4驱动装配问题流程图,DirectOnly
3,2018_G_D029.pdf-10d238b4-ee16-4891-9522-f7e895f2f545,e03c8d26acaeb440cfda801514615de0c96442b7dde04fa91fa54211ab59935e,图3颜色装配问题流程图,Direct+Link
3,2023_G_A092.pdf-5db87c85-f001-44bb-9cd1-933c32b9efdf,5e8305c76cf61e8ef98c99afab192fd7a663466b19426c2473f56393d64bff26,图29 问题三流程图,Direct+Link
3,2023_G_A092.pdf-5db87c85-f001-44bb-9cd1-933c32b9efdf,69dce85f840278539689028d0f804d7aca777ae63f7fabc31459a380f1e635dc,图9求解入射遮挡区域的流程图,DirectOnly
3,2023_G_A092.pdf-5db87c85-f001-44bb-9cd1-933c32b9efdf,798816d6a3a0f3fb2ccd55d149614556954fa9d3899e84528fc39f14454a81c0,图1问题一流程图,Direct+Link
3,2023_G_A092.pdf-5db87c85-f001-44bb-9cd1-933c32b9efdf,8ba2e38d75eea539f39dc15879f685a63743c32e931c9924e52121f7eefbf4d3,图21 问题二流程图,Direct+Link
3,2023_G_A127.pdf-c7af97bb-63f5-4e7a-ae28-7f7b3d4f016c,179d42ddcb4793f4f87182174f6618181bafcbbf4cb81c872e5135a902fe43cf,图18：问题三算法求解流程图,Direct+Link+Layout+Type
3,2023_G_A127.pdf-c7af97bb-63f5-4e7a-ae28-7f7b3d4f016c,226c02af9e5f10ee542e249a33ebb11d45c833b5129b08c2b48489c4c70eeef5,图11：区域划分示意图,DirectOnly
3,2023_G_A127.pdf-c7af97bb-63f5-4e7a-ae28-7f7b3d4f016c,2d46f183aac17838e6d37211c82b4f201a71dd92bbfabad5af42dbed4dc08cbd,图17：“定日镜规格分区域规划策略”示意图 [8],DirectOnly
3,2023_G_A127.pdf-c7af97bb-63f5-4e7a-ae28-7f7b3d4f016c,74124e754ae065300fcca3f59fa06980e4fb3cdc4f856cbf240172050f612800,图7:锥形光线离散化示意图,never
3,2023_G_A127.pdf-c7af97bb-63f5-4e7a-ae28-7f7b3d4f016c,888c253c236f3cc4af3e9a7ee29ebfca794f7d6ef5e3ee38fac41ee27a013861,图13：变步长搜索法寻找最佳定日镜场参数流程图,never
3,2023_G_A127.pdf-c7af97bb-63f5-4e7a-ae28-7f7b3d4f016c,c4aee13b666b07df759f8929f9036ab3e13715dfaf3621d16e723b33cba19939,图1：镜场坐标系示意图(左图)和镜面坐标系示意图(右图),Direct+Link+Layout
3,2023_G_A127.pdf-c7af97bb-63f5-4e7a-ae28-7f7b3d4f016c,ee2a92f626acab83fac21aa39ea618c72b1e169f5b49bd6f67f9e51c122c7362,图5：集热器挡光阴影示意图(左图)与定日镜塔挡损失示意图(右图),never
3,2023_G_A175.pdf-8d4a4c05-3206-497f-bcd2-34719146185f,917ede45cfb31c1775a9f57ac309cd6e8013745ea25f6b2184c85373723e2c1d,图8：余弦损失的示意图,never
3,2023_G_A175.pdf-8d4a4c05-3206-497f-bcd2-34719146185f,9242e8d13d231f69d760b69d9ab9504d208c03798d662ed5f5457963d9f38304,图4：定日镜面的坐标系,DirectOnly
3,2023_G_A175.pdf-8d4a4c05-3206-497f-bcd2-34719146185f,a35bdf64f163bb4ae297e117bc0ac5059b0b021c4fb00fa267c5d2de5c9852d0,图7：增音不遮挡下，定日镜的阴影遮挡损伤模型图示,Direct+Link+Layout
3,2023_G_A175.pdf-8d4a4c05-3206-497f-bcd2-34719146185f,b3a5c638ec3bc96b20e6607c450ab170e796e4c7f8242c9fe1b2ed194b083d9b,图1：定日镜场的大地坐标系,DirectOnly
3,2023_G_A175.pdf-8d4a4c05-3206-497f-bcd2-34719146185f,d6b6ff838e4318f619a25f26ce5925954243b7cc823a7274d3ca662699dd5254,图5：光椎束的坐标系（X-Y-Z）,never
3,2023_G_B226.pdf-138a457c-a3d1-4dec-a2b6-3b5dc1265cc7,12eec5b5cbd4f1cc81683097a4aa07e75efa370d7b4631d1122383504c56eaeb,图1：多波束测深原理图,Direct+Link+Layout
3,2023_G_B226.pdf-138a457c-a3d1-4dec-a2b6-3b5dc1265cc7,28aa0370ebe23139d6b562eca304b4ad5a613a34b65ff998ecdc17b7109e7be9,图5：相邻条带之间的重叠,DirectOnly
3,2023_G_B226.pdf-138a457c-a3d1-4dec-a2b6-3b5dc1265cc7,505722209f9281239c24bef0122c40fa911abdbb23dadf1b724058e963f3aa6e,图17：最优测线布设求解流程,never
3,2023_G_B226.pdf-138a457c-a3d1-4dec-a2b6-3b5dc1265cc7,a1e47c97e1c9317833d5727644cdeffd35c777dbb4e3cc84e5c14e51e9f0e863,图4：覆盖宽度计算,DirectOnly
3,2023_G_B226.pdf-138a457c-a3d1-4dec-a2b6-3b5dc1265cc7,aab331823d88069475e7b846c343818da3bcb1765188bac79c17da841416a3fd,图15：待测矩形海域,never
3,2023_G_B226.pdf-138a457c-a3d1-4dec-a2b6-3b5dc1265cc7,be469d28a1a90aec0fc2e4f2512f4daf341ab317ccbb267b1e68a0bcb112b1f6,图2：多波束测量坐标系的建立,Direct+Link+Layout
3,2023_G_B226.pdf-138a457c-a3d1-4dec-a2b6-3b5dc1265cc7,d8dd23716c6f2d209b4d75c79ad8161c35e1a1cbb63d4e0f6321eccc5881ba9c,图9：问题二求解流程,never
3,2023_G_B226.pdf-138a457c-a3d1-4dec-a2b6-3b5dc1265cc7,fea55e5bf16ce4cd9a213e701ede7b7f71f0c1c76f27ab764c7de2e1f90c084d,图10：问题二坐标系,never
3,2023_G_B311.pdf-4c40818a-19f0-4e8f-bea2-d2c28c9a7a93,12dc338b3f5568f11274f353a796640e743470e11c1bbac1173cf3e84ea9632c,图4 问题2的示意图,never
3,2023_G_B311.pdf-4c40818a-19f0-4e8f-bea2-d2c28c9a7a93,c86f827b7a32cd099e5a352e3f9aa99f48b30743d172809725b1fe70a8229ba8,图8 等高线与梯度线图,DirectOnly
3,2023_G_B311.pdf-4c40818a-19f0-4e8f-bea2-d2c28c9a7a93,f65b1a166b1284ade0225e0289f6718b43e3cb08db0088f9000751ec3c8d9e3f,图1 问题1的示意图,Direct+Link+Layout
3,2023_G_C050.pdf-2049a35a-b3ce-49bb-a0db-827272b74086,0d92d482cbbc2d6b4f0603c4c55d4d530f0b47e052ad9af070814e3639240a1f,图8 成本加成定价定义,DirectOnly
3,2023_G_C050.pdf-2049a35a-b3ce-49bb-a0db-827272b74086,30ebdfdc2572fc5c067acfd334b77d733d393929bf357a3e171dbd6d17f7e188,图1总体思路图,never
3,2023_G_C050.pdf-2049a35a-b3ce-49bb-a0db-827272b74086,c736ce025745d6df8cdb6e123bd86052005729238201665fdd82205e7b5123bc,图3六大品类蔬菜12个季度的平均销售量折线图,DirectOnly
3,2023_G_C228.pdf-b2387ac6-a2c5-4f0e-a228-e82e75c63418,2dee8bdaffdb61d3967e08e6f56be155f7d73b1f676148f3aacba9a5d6d06782,图16 问题二主体思路,never
3,2023_G_E032.pdf-a2ac9d24-a978-4750-bdfc-d48988ea3d38,162100d9ece44fcd582ebbcf02f8d1ca31bd0e823655b8deb5a76f6aeb172755,图31．求解水道断面面积示意图,never
3,2023_G_E032.pdf-a2ac9d24-a978-4750-bdfc-d48988ea3d38,9898eaa95c53d9a83b3f887c78bf7f706982253fb29aaa59a241fdcdaff84b8f,图1. 本文的研究路径,never
3,2023_G_E032.pdf-a2ac9d24-a978-4750-bdfc-d48988ea3d38,b2d7c173be54a4e390f557bf4c1b510d6a12329696d08a33603977c8a9fffc9a,图32. 求解水道平均速度示意图,never
3,2023_G_E032.pdf-a2ac9d24-a978-4750-bdfc-d48988ea3d38,cd8ca00c2fd7d1d9befc4a51394fbbc8b00f6cbd7940a7b1f179fd60cadda91a,图5. 含沙量-水流量关系图,never
3,2023_G_E032.pdf-a2ac9d24-a978-4750-bdfc-d48988ea3d38,eb86647b21d9ee5b5680cc395dc29da0ec8ca9ef869f9179644f0a97b12d21b7,图17.SARIMA原理分析图,DirectOnly
3,2023_G_E176.pdf-6a7252f2-fcac-48bd-9de1-2adf091599c5,47d3ad028759870628cda2608da3cd0a9831e8d5060f9d981c5ccc5ecb5da519,图41河底高程未来10年的变化情况,never
3,2023_G_E176.pdf-6a7252f2-fcac-48bd-9de1-2adf091599c5,4d603b8e643ee2831ac177821cbf52fd092426e3876b8438650a1512dd66d501,图27 沙通量小波等值线图,never
3,2023_G_E176.pdf-6a7252f2-fcac-48bd-9de1-2adf091599c5,9812a729af7420e9a5eedc658deb60aad6489310c786abddc50690893f9cfe66,图1研究路径,Direct+Link+Layout
4,2016_G_A028.pdf-6e4c52f4-be1a-43fe-9a4f-f2f6fb479a0c,29714b771ac5c9bbd7139eb2684dd162f2087c7e5db10c188714f0a564f78381,图5.1.1 系统空间坐标系,never
4,2016_G_A028.pdf-6e4c52f4-be1a-43fe-9a4f-f2f6fb479a0c,c666acc38d85752a433fb6448de40948913eaf210f0f878fd08a935a6dfd1dc5,图5.4.1 搜索算法流程图,DirectOnly
4,2016_G_A194.pdf-b86a85b1-ff13-48a6-90bc-0afc1ed6de24,0882057e926fdfd090bdafa61b6066920ec41a123d157058477eadf4db1d5c8e,图1传输节点示意图,DirectOnly
4,2016_G_A194.pdf-b86a85b1-ff13-48a6-90bc-0afc1ed6de24,50d1a83095504f2d4b3880508fa57ab360268b87299dcb238d743e6892fd3442,图12二分法流程示意图,never
4,2016_G_A433.pdf-ace5f580-0291-4b74-8e8a-3e24514c4563,203b90f2290edf39c716dc6cde768d11c8b03fb4b497f835d8c8f66cde6c6f61,图1 符号说明,Direct+Link+Layout
4,2016_G_A433.pdf-ace5f580-0291-4b74-8e8a-3e24514c4563,72520c8c4b4b35c3fc76157e66f8e121b6459cdf33e7e170bc2ca947a0155c82,图10 考虑水流力的情况下受力示意图,DirectOnly
4,2016_G_A433.pdf-ace5f580-0291-4b74-8e8a-3e24514c4563,a01aaa10caae5535e42d59d9f73d511f0d8bf9afe285fdc585e5edecf7dd00df,图13：模型改进下的受力图,never
4,2016_G_B022.pdf-45c1977b-4052-4367-8a33-85a423730b3d,46e05dd89c89ba225cfc2d8ad8e496c4c31c1f2ce62761a8f1cb154e94f3f315,图2 求解流程图,Direct+Link
4,2016_G_B022.pdf-45c1977b-4052-4367-8a33-85a423730b3d,4fe8fdf8aa4029e6a78d72f75a4d2c3fb5622e82d221facc9fac68296ab15309,图1小区交通影响指标体系,Direct+Link
4,2016_G_B022.pdf-45c1977b-4052-4367-8a33-85a423730b3d,ffd57342253e426fd8d4b55154b2af4991d0188d41fcf35f851726fc578f060e,图16敏感性分析结果,DirectOnly
4,2016_G_B044.pdf-bb7acb2d-63cf-48d6-acf7-16e9e75ec953,39c940a5bf6b7f096fc2adced3a0d6f67c47d153ffb01c266509fe1a2b0cecaa,图1 小区影响范围交通平面图,DirectOnly
4,2016_G_B044.pdf-bb7acb2d-63cf-48d6-acf7-16e9e75ec953,66a77fed0d21be18889fa11a6bec812c2ffea0648d3cfd7f3d755217647e653e,图5 不存在分、合流效应的小区示意图,DirectOnly
4,2016_G_B067.pdf-f6c8e02c-ac22-49cb-a2f4-6f0cb4726072,39bceff768d6259a3ad74d7a6bbe2bc071547d3938b4a597118a9fa10d491ef1,图1 问题一分析流程图,Direct+Link
4,2016_G_B067.pdf-f6c8e02c-ac22-49cb-a2f4-6f0cb4726072,43edda1fa1bf888165bfc485c82648ff38510257ca869ee0ca12b67840e96049,图3“开放式小区”近似电路图,LG-JSSF+ClusterAdd
4,2016_G_B067.pdf-f6c8e02c-ac22-49cb-a2f4-6f0cb4726072,bc133c126d2a7c987ac407f15abbba204ed8809fe4871861a3be3e23393ee37c,图2“封闭式小区”近似电路图,Direct+Link
4,2016_G_B294.pdf-efa735c1-180d-4ef2-b2e3-71ef259ee165,4c80655608c268bfd0651ba6ce441cdccd9e62f16d483a5500a7761767742b18,图1层次分析图示,Direct+Link+Layout
4,2016_G_B294.pdf-efa735c1-180d-4ef2-b2e3-71ef259ee165,6bb60d338e4cb2afb069709c4fe80fa77b1158dc898273edf04ac274054b54aa,图16 小区开放与否的评判准则,never
4,2016_G_B294.pdf-efa735c1-180d-4ef2-b2e3-71ef259ee165,d75eec99d039666c9adef8a87404ee89e0088b124a7e8ae64473cb98478c214b,图3指标体系,LG-JSSF+ClusterAdd
4,2017_G_A156.pdf-526d4bc0-c508-47e0-9181-6bcff011181f,057cfee7e00682b8dbd7b9075c3f6c333f3d4e5dc546c0f357168b6733c664c2,图1黄金分割法上下界点、左右探测点图示,Direct+Link+Layout
4,2017_G_A156.pdf-526d4bc0-c508-47e0-9181-6bcff011181f,9aca72f0045cd4e335748bc6f73f78ca06570ecf472ce4dc3eb087b6add9a9bd,图12附件3介质最终重建图像,DirectOnly
4,2017_G_A156.pdf-526d4bc0-c508-47e0-9181-6bcff011181f,fd93917298efe0bd4563b48a653c3c4aec307a94ee7d8674643c124d455613a2,图14附件5介质最终重建图像,DirectOnly
4,2017_G_B104.pdf-435f7107-40d7-45f1-8d90-183339b8efc2,15f3cea67abd9264154eb2f74f09c20075a1e52d841dff08ae319789a38ec2da,图1 任务分布情况图,DirectOnly
4,2017_G_B104.pdf-435f7107-40d7-45f1-8d90-183339b8efc2,9a4b14c8e85640912d0dba1cc3db825d9456f1acd8e3a5c7a91042a661f82270,图7打包任务点的算法流程图,never
4,2017_G_B104.pdf-435f7107-40d7-45f1-8d90-183339b8efc2,9f8550f3a2f716509bb19f9846caa0f19a4ddaaa842e0cb353e0b8ee12a2c19a,图10 附件三任务点分布情况,DirectOnly
4,2017_G_B154.pdf-6b295a37-7f1d-4087-aa6b-498ebc227dfe,16c4432b4e07e0cbfa3859ae3b387c35e31427442529062daa4ef60879d1d673,图1 任务点按照价格区间分类的空间分布图,Direct+Link+Layout
4,2017_G_B154.pdf-6b295a37-7f1d-4087-aa6b-498ebc227dfe,1b8e42e424f380b48538ee13a4aceef114ec751c2bfcddc40f1d1730ce0a400b,图14各个任务点处的行动力消耗,never
4,2017_G_B154.pdf-6b295a37-7f1d-4087-aa6b-498ebc227dfe,9d22e9c63d341b398c25603a57e22f8c5ae5c4c1cabefb4f8a845a311ee3b8f5,图12任务价格与被完成概率的关系,LG-JSSF+ClusterAdd
4,2017_G_B248.pdf-ceeb3cc2-f05c-4906-833a-5eb02870f643,5f26689bd0a4dd2a61eb9ce36f07e5f4fcee42d4fbe29bb376cf36882308987c,图11模型三的最优定价方案和模型二的最优定价方案的对比图,DirectOnly
4,2017_G_B248.pdf-ceeb3cc2-f05c-4906-833a-5eb02870f643,6cbb5766e49ddcde830d4baa4614abde7ee7241ed6b523a01adf1d2772466daf,图6 问题二的思路流程图,never
4,2017_G_B248.pdf-ceeb3cc2-f05c-4906-833a-5eb02870f643,c78480438f1ce9d7fc1231f013133ebafc67994dc121e1788daf6428d471c572,图1问题一的思路流程图,Direct+Link+Layout
4,2017_G_B315.pdf-11a42682-c012-4452-b69e-37bc3de34fc6,04b16b660eef3e29e138bfc6e1d1913ee640736897ba56ebc57e6eecebaa638b,图4 会员密度分布,Direct+Link
4,2017_G_B315.pdf-11a42682-c012-4452-b69e-37bc3de34fc6,3cc9b87ed257782c9decf90b978433ec7e4188463dee02217f07628675e61bf0,图2 任务定价的地理分布,DirectOnly
4,2017_G_B315.pdf-11a42682-c012-4452-b69e-37bc3de34fc6,cf26a986966192ed8d35464af2c190b852ff072c2639038d892d92023dfe401f,图10公式I与公式II所得数据的C-Q折线图（纵坐标为C，横坐标为Q）因此，在这一模型中，公式II更优一些。,never
4,2017_G_B447.pdf-bba1d9f9-3235-4893-aeb8-689cd6ed9376,36432a499cb8c8f3f007f6a9b89259632649f7b5a46efacab3eb203ec706ed48,图33不合理打包（左），合理打包（右）,never
