k,method_a,method_b,miss_jaccard,hit_jaccard,cohen_kappa,miss_a,miss_b,miss_intersection,miss_union,rescue_a_to_b,rescue_b_to_a,complementarity_a_to_b,complementarity_b_to_a
7,Qwen3-VL-Rerank-ImgCap,Zero-shot-CLIP,0.4483,0.5362,0.3184,40,44,26,58,14,18,0.2414,0.3103
7,Qwen3-VL-Rerank-Img,Layout-Order,0.4043,0.6316,0.3528,30,36,19,47,11,17,0.234,0.3617
7,Qwen3-VL-Rerank-Img,Caption-BM25,0.339,0.48,0.1884,30,49,20,59,10,29,0.1695,0.4915
7,Qwen3-VL-Rerank-Img,Caption-Dense-v4,0.3175,0.4267,0.1318,30,53,20,63,10,33,0.1587,0.5238
7,Qwen3-VL-Rerank-Img,Zero-shot-CLIP,0.3214,0.5065,0.1777,30,44,18,56,12,26,0.2143,0.4643
7,Layout-Order,Caption-BM25,0.4167,0.5,0.2687,36,49,25,60,11,24,0.1833,0.4
7,Layout-Order,Caption-Dense-v4,0.4127,0.4638,0.2423,36,53,26,63,10,27,0.1587,0.4286
7,Layout-Order,Zero-shot-CLIP,0.4286,0.5493,0.3141,36,44,24,56,12,20,0.2143,0.3571
7,Caption-BM25,Caption-Dense-v4,0.5,0.4426,0.2816,49,53,34,68,15,19,0.2206,0.2794
7,Caption-BM25,Zero-shot-CLIP,0.4308,0.4478,0.2229,49,44,28,65,21,16,0.3231,0.2462
7,Caption-Dense-v4,Zero-shot-CLIP,0.4697,0.4531,0.2694,53,44,31,66,22,13,0.3333,0.197
