paper_id,figure_id,caption,figure_index,body_order_rank,explicit_ref_count,p_type,type_category,s_direct,s_link,p_layout,s_direct_pct,s_link_pct,p_layout_pct,cluster_top1_label,Proposed_rank
2018_G_B203.pdf-cd92e332-dd42-40fe-9530-03ab83e77d3a,0668dd8d2a0e5cf7cc45ba194b77d944a5525a5a66f1f4e7e20f4f97ad8556b9,图4 情况3-1的流程图,4,4.0,0,1.5,framework,0.0102,1.0,0.4307,0.0,0.7143,0.4286,,2
2018_G_B203.pdf-cd92e332-dd42-40fe-9530-03ab83e77d3a,5ee82327435f576fe84b42c0b43ef9631463e5f0c2bff59038d2d8e6d8f0d19c,图5 情况3-2的流程图,5,5.0,0,1.5,framework,0.0148,0.6005,0.3869,0.1429,0.4286,0.2857,,5
2018_G_B203.pdf-cd92e332-dd42-40fe-9530-03ab83e77d3a,b75c754c6f427f3962d93eebca7cad5d66fe8163a1277618684324e361a1752a,图1 模型思维导图,1,1.0,1,1.0,schematic,0.0253,0.6345,1.0,0.5714,0.5714,0.8571,,4
2018_G_B203.pdf-cd92e332-dd42-40fe-9530-03ab83e77d3a,f16431a810ef3d2e6ff14f3f5cf7972ed57bc101137b515847bab12d00657ef1,图3 情况2的流程图,3,3.0,0,1.5,framework,0.023,1.0,0.5,0.2857,0.7143,0.5714,,1
2018_G_B203.pdf-cd92e332-dd42-40fe-9530-03ab83e77d3a,f764b25c730e120c350c16dedaf2ec55f622a731c43c9ac69baea37ec0633ee1,图2 情况1的流程图,2,2.0,0,1.5,framework,0.0239,0.4389,0.6309,0.4286,0.2857,0.7143,,3
2018_G_B334.pdf-9618d410-024a-4368-8c34-abb687df4146,889d4bc5d542eaf54f56c93e99312cff04b35246da7c7d4b620a481663f94956,图1 带约束的队列调度示意图,1,1.0,1,1.0,schematic,0.0173,1.0,1.0,0.5,0.3333,0.8333,,1
2018_G_B334.pdf-9618d410-024a-4368-8c34-abb687df4146,bf317e4e318aedb3bae59c11dcfff990b335038700b345ca1500029a1a0268e6,图2 最优状态转移图模型示意图,2,2.0,0,1.0,schematic,0.0438,0.5924,0.6309,0.6667,0.1667,0.6667,,5
2018_G_C008.pdf-3e10abb3-a9d0-4ecb-898d-01d2020ed451,52ab1afa884f8692f5ac04e9f5b26762d43ef9fb5d9316a03826e604bbf093da,图7各层评价目标,7,7.0,1,1.0,other,-0.0147,0.4071,0.3333,0.0,0.0,0.1429,,5
2018_G_C008.pdf-3e10abb3-a9d0-4ecb-898d-01d2020ed451,6e9ff918b2015bfca950af2bd29ce3b00c608adee57489207eb7645cf43c699a,图6会员与非会员每日消费总金额情况,6,6.0,0,1.0,other,0.0353,1.0,0.3562,0.4286,0.2857,0.2857,,6
2018_G_C008.pdf-3e10abb3-a9d0-4ecb-898d-01d2020ed451,a3ddcdf0742c840a0a342572b82d78cdd5d4d2c3e7de7bb92376783e6a7d6e7d,图1会员消费特征指标,1,1.0,0,1.0,other,0.0244,1.0,1.0,0.2857,0.2857,0.8571,,1
2018_G_D029.pdf-10d238b4-ee16-4891-9522-f7e895f2f545,cfe682066869be7228c8ebc83633109ca53c0fa6f41091e7a8c7f3269a2ac4ec,图4驱动装配问题流程图,4,4.0,0,1.5,framework,0.0245,1.0,0.4307,0.6,0.4,0.2,,3
