group_name,k,n_papers,actual_budget_mean,actual_budget_median,actual_budget_p25,actual_budget_p75,actual_budget_min,actual_budget_max,compression_ratio_mean,compression_ratio_median,pool_gt_recall_micro,union_gain_mean,pairwise_pool_jaccard_mean
Proposed,4,31,4.0,4.0,4.0,4.0,4,4,1.0,1.0,0.4947,0.0,1.0
Proposed,5,31,5.0,5.0,5.0,5.0,5,5,1.0,1.0,0.5474,0.0,1.0
Proposed,6,31,5.97,6.0,6.0,6.0,5,6,0.9946,1.0,0.6,0.0,1.0
Proposed,7,31,6.9,7.0,7.0,7.0,5,7,0.9862,1.0,0.6211,0.0,1.0
Proposed+Qwen+Layout,3,31,5.71,6.0,5.0,7.0,4,8,0.6344,0.6667,0.6316,0.0557,0.3473
Proposed+Qwen+Layout,4,31,7.39,7.0,6.0,8.5,5,11,0.6156,0.5833,0.7263,0.0616,0.3727
Proposed+Qwen+Layout,5,31,8.74,8.0,7.0,10.0,5,14,0.5828,0.5333,0.7895,0.0619,0.4479
Proposed+Qwen+Layout,6,31,10.19,10.0,9.0,11.5,5,17,0.5663,0.5556,0.8211,0.0511,0.4558
Proposed+Qwen+Layout,7,31,11.35,11.0,9.5,14.0,5,19,0.5407,0.5238,0.8526,0.06,0.4957
Proposed-v2,3,31,3.0,3.0,3.0,3.0,3,3,1.0,1.0,0.4211,0.0,1.0
Proposed-v2,4,31,4.0,4.0,4.0,4.0,4,4,1.0,1.0,0.4947,0.0,1.0
Proposed-v2,5,31,5.0,5.0,5.0,5.0,5,5,1.0,1.0,0.5789,0.0,1.0
Proposed-v2,6,31,5.97,6.0,6.0,6.0,5,6,0.9946,1.0,0.6316,0.0,1.0
Proposed-v2,7,31,6.9,7.0,7.0,7.0,5,7,0.9862,1.0,0.6632,0.0,1.0
Pv2+BM25,3,31,5.29,5.0,5.0,6.0,3,6,0.8817,0.8333,0.5579,0.0712,0.1613
Pv2+BM25,4,31,6.81,7.0,6.0,7.5,5,8,0.8508,0.875,0.6316,0.0874,0.2019
Pv2+BM25,5,31,7.74,8.0,7.0,9.0,5,10,0.7742,0.8,0.6632,0.0403,0.3337
Pv2+BM25,6,31,8.77,9.0,8.0,10.0,5,12,0.7312,0.75,0.6842,0.0145,0.4085
Pv2+BM25,7,31,9.87,10.0,9.0,11.0,5,14,0.7051,0.7143,0.7368,0.036,0.4631
Pv2+CLIP,3,31,5.13,5.0,5.0,5.5,4,6,0.8548,0.8333,0.5579,0.0984,0.1871
Pv2+CLIP,4,31,6.58,7.0,6.0,7.0,5,8,0.8226,0.875,0.6737,0.1186,0.2467
Pv2+CLIP,5,31,8.0,8.0,7.0,9.0,5,10,0.8,0.8,0.7684,0.1331,0.2862
Pv2+CLIP,6,31,9.03,9.0,8.0,10.5,5,12,0.7527,0.75,0.7789,0.1062,0.3746
Pv2+CLIP,7,31,10.03,10.0,9.0,11.5,5,13,0.7166,0.7143,0.8,0.0955,0.4312
Pv2+Dense,3,31,5.06,5.0,5.0,6.0,3,6,0.8441,0.8333,0.5053,0.043,0.229
Pv2+Dense,4,31,6.48,7.0,6.0,7.0,4,8,0.8105,0.875,0.5895,0.0753,0.2854
Pv2+Dense,5,31,7.77,8.0,7.0,9.0,5,10,0.7774,0.8,0.6632,0.0527,0.3405
Pv2+Dense,6,31,9.03,9.0,8.0,10.5,5,12,0.7527,0.75,0.7158,0.0473,0.376
Pv2+Dense,7,31,10.06,10.0,9.0,12.0,5,14,0.7189,0.7143,0.7579,0.0323,0.4369
Pv2+L,3,31,3.97,4.0,3.5,4.0,3,5,0.6613,0.6667,0.4632,0.0065,0.5613
Pv2+L,4,31,5.23,5.0,4.5,6.0,4,7,0.6532,0.625,0.5579,0.0266,0.5816
Pv2+L,5,31,6.42,6.0,5.5,7.0,5,9,0.6419,0.6,0.6737,0.0527,0.6081
Pv2+L,6,31,7.71,8.0,6.5,9.0,5,11,0.6425,0.6667,0.7263,0.0635,0.6014
Pv2+L,7,31,8.87,9.0,8.0,10.0,5,13,0.6336,0.6429,0.7474,0.0348,0.6079
Pv2+Q,3,31,4.74,5.0,4.0,5.0,3,6,0.7903,0.8333,0.5895,0.0477,0.3
Pv2+Q,4,31,6.06,6.0,5.0,7.0,4,8,0.7581,0.75,0.6842,0.0672,0.357
Pv2+Q,5,31,7.23,7.0,6.0,8.0,5,10,0.7226,0.7,0.7263,0.0562,0.4479
Pv2+Q,6,31,8.45,8.0,7.0,9.0,5,12,0.7043,0.6667,0.7579,0.0444,0.4745
Pv2+Q,7,31,9.74,10.0,8.0,11.0,5,14,0.6959,0.7143,0.8211,0.0723,0.4889
Pv2+Qcap,3,31,4.94,5.0,4.5,5.0,3,6,0.8226,0.8333,0.5684,0.0511,0.2484
Pv2+Qcap,4,31,6.39,6.0,5.5,7.0,4,8,0.7984,0.75,0.6632,0.05,0.2968
Pv2+Qcap,5,31,7.61,7.0,6.5,9.0,5,10,0.7613,0.7,0.7053,0.0651,0.3857
Pv2+Qcap,6,31,8.9,9.0,7.0,11.0,5,12,0.7419,0.75,0.7368,0.0543,0.4064
Pv2+Qcap,7,31,10.06,10.0,8.0,12.0,5,14,0.7189,0.7143,0.7789,0.0715,0.4479
Pv2+Qimg,3,31,4.9,5.0,5.0,5.0,3,6,0.8172,0.8333,0.6,0.0406,0.2516
Pv2+Qimg,4,31,6.32,6.0,6.0,7.0,5,8,0.7903,0.75,0.6842,0.0611,0.2937
Pv2+Qimg,5,31,7.52,8.0,6.5,9.0,5,10,0.7516,0.8,0.7263,0.0436,0.3939
Pv2+Qimg,6,31,8.68,9.0,7.0,10.0,5,12,0.7231,0.75,0.7684,0.0543,0.4295
Pv2+Qimg,7,31,9.87,10.0,8.0,11.5,5,14,0.7051,0.7143,0.8316,0.0817,0.4651
Q+BM25,3,31,5.1,5.0,5.0,6.0,3,6,0.8495,0.8333,0.5368,0.0605,0.2097
Q+BM25,4,31,6.61,7.0,6.0,7.0,4,8,0.8266,0.875,0.6526,0.0401,0.2439
Q+BM25,5,31,7.84,8.0,7.0,9.0,5,10,0.7839,0.8,0.7053,0.036,0.3225
Q+BM25,6,31,9.03,9.0,8.0,10.5,5,12,0.7527,0.75,0.7368,0.0403,0.3721
Q+BM25,7,31,9.97,10.0,9.0,12.0,5,13,0.712,0.7143,0.8,0.0683,0.4524
Q+CLIP,3,31,5.03,5.0,5.0,5.5,3,6,0.8387,0.8333,0.5684,0.0804,0.2226
Q+CLIP,4,31,6.48,7.0,6.0,7.0,4,8,0.8105,0.875,0.7158,0.0952,0.2728
Q+CLIP,5,31,7.65,8.0,7.0,8.0,5,10,0.7645,0.8,0.7684,0.0702,0.3413
