paper_id,strategy,allfig_group,total_figure_count,figure_bin,allfig_score,best_prerecall_score,best_prerecall_group,best_prerecall_method,delta_allfig_minus_best,allfig_wins,allfig_ties,Proposed_score,delta_allfig_minus_Proposed,allfig_beats_Proposed,Layout_score,delta_allfig_minus_Layout,allfig_beats_Layout,QwenVL_score,delta_allfig_minus_QwenVL,allfig_beats_QwenVL
2023_G_C050.pdf-2049a35a-b3ce-49bb-a0db-827272b74086,text_rag_then_rewrite,AllFig-RAG,19,16–20,0.5067892877415853,0.6473460915735464,QwenVL-RAG-T6,QwenVL,-0.14055680383196112,False,False,0.4899119105751786,0.016877377166406693,True,0.3812192301097918,0.12557005763179346,True,0.6473460915735464,-0.14055680383196112,False
2016_G_B067.pdf-f6c8e02c-ac22-49cb-a2f4-6f0cb4726072,text_rag_then_rewrite,AllFig-RAG,19,16–20,0.3455261219700369,0.3695611549158986,Prop-RAG-T6,Proposed,-0.02403503294586168,False,False,0.3695611549158986,-0.02403503294586168,False,0.3693777321001354,-0.02385161013009851,False,0.1603603482412747,0.1851657737287622,True
2016_G_B294.pdf-efa735c1-180d-4ef2-b2e3-71ef259ee165,text_rag_then_rewrite,AllFig-RAG,19,16–20,0.3686663366499401,0.4663534970825704,QwenVL-RAG-T6,QwenVL,-0.09768716043263032,False,False,0.4332283094525405,-0.0645619728026004,False,0.3682048604601905,0.0004614761897495656,True,0.4663534970825704,-0.09768716043263032,False
2023_G_A127.pdf-c7af97bb-63f5-4e7a-ae28-7f7b3d4f016c,text_rag_then_rewrite,AllFig-RAG,22,21–30,0.5304349631208166,0.4853041953506469,QwenVL-RAG-T6,QwenVL,0.04513076777016972,True,False,0.4702863098826598,0.060148653238156824,True,0.3081223180485103,0.2223126450723063,True,0.4853041953506469,0.04513076777016972,True
2016_G_A028.pdf-6e4c52f4-be1a-43fe-9a4f-f2f6fb479a0c,text_rag_then_rewrite,AllFig-RAG,24,21–30,0.3867463045628127,0.4881952631118147,Prop-RAG-T6,Proposed,-0.10144895854900199,False,False,0.4881952631118147,-0.10144895854900199,False,0.3650080594685153,0.021738245094297448,True,0.3550859159618625,0.03166038860095022,True
2017_G_B154.pdf-6b295a37-7f1d-4087-aa6b-498ebc227dfe,text_rag_then_rewrite,AllFig-RAG,24,21–30,0.3427299297438327,0.2766298559892878,Layout-RAG-T6,Layout,0.06610007375454491,True,False,0.1108788477783647,0.231851081965468,True,0.2766298559892878,0.06610007375454491,True,0.1108213548410043,0.2319085749028284,True
2023_G_C228.pdf-b2387ac6-a2c5-4f0e-a228-e82e75c63418,text_rag_then_rewrite,AllFig-RAG,26,21–30,0.5222284838775816,0.5930393651610907,QwenVL-RAG-T6,QwenVL,-0.0708108812835091,False,False,0.3382064905764355,0.1840219933011461,True,0.3026577305019569,0.2195707533756247,True,0.5930393651610907,-0.0708108812835091,False
2023_G_B226.pdf-138a457c-a3d1-4dec-a2b6-3b5dc1265cc7,text_rag_then_rewrite,AllFig-RAG,27,21–30,0.2905214715313601,0.525374709984679,Layout-RAG-T6,Layout,-0.23485323845331885,False,False,0.4200452878110464,-0.1295238162796863,False,0.525374709984679,-0.23485323845331885,False,0.2975562625461154,-0.007034791014755293,False
2023_G_E032.pdf-a2ac9d24-a978-4750-bdfc-d48988ea3d38,text_rag_then_rewrite,AllFig-RAG,32,31+,0.2278246345096084,0.2577950511152672,Layout-RAG-T6,Layout,-0.029970416605658773,False,False,0.140352622422794,0.0874720120868144,True,0.2577950511152672,-0.029970416605658773,False,0.2575470680238972,-0.0297224335142888,False
2023_G_A092.pdf-5db87c85-f001-44bb-9cd1-933c32b9efdf,text_rag_then_rewrite,AllFig-RAG,35,31+,0.623036145948794,0.5416299926041643,Prop-RAG-T6,Proposed,0.08140615334462964,True,False,0.5416299926041643,0.08140615334462964,True,0.3317183966856621,0.29131774926313186,True,0.3444882493809409,0.27854789656785306,True
2023_G_E176.pdf-6a7252f2-fcac-48bd-9de1-2adf091599c5,text_rag_then_rewrite,AllFig-RAG,42,31+,0.406142117915759,0.4265248195182418,Layout-RAG-T6,Layout,-0.02038270160248279,False,False,0.2362166027462785,0.16992551516948048,True,0.4265248195182418,-0.02038270160248279,False,0.3392895987444986,0.0668525191712604,True
2017_G_B447.pdf-bba1d9f9-3235-4893-aeb8-689cd6ed9376,text_rag_then_rewrite,AllFig-RAG,44,31+,0.5459902214615929,0.5692994388893967,QwenVL-RAG-T6,QwenVL,-0.023309217427803786,False,False,0.4278926928562044,0.11809752860538852,True,0.4785710507387611,0.06741917072283182,True,0.5692994388893967,-0.023309217427803786,False
