paper_id,strategy,allfig_group,total_figure_count,figure_bin,allfig_score,best_prerecall_score,best_prerecall_group,best_prerecall_method,delta_allfig_minus_best,allfig_wins,allfig_ties,Proposed_score,delta_allfig_minus_Proposed,allfig_beats_Proposed,Layout_score,delta_allfig_minus_Layout,allfig_beats_Layout,QwenVL_score,delta_allfig_minus_QwenVL,allfig_beats_QwenVL
2023_G_A175.pdf-8d4a4c05-3206-497f-bcd2-34719146185f,end_to_end_vlm,AllFig-E2E,11,11–15,0.2925083741560214,0.3475789518653585,Layout-E2E-T6,Layout,-0.0550705777093371,False,False,0.2406481438855179,0.05186023027050349,True,0.3475789518653585,-0.0550705777093371,False,0.2937973934733184,-0.0012890193172970243,False
2023_G_B311.pdf-4c40818a-19f0-4e8f-bea2-d2c28c9a7a93,end_to_end_vlm,AllFig-E2E,11,11–15,0.4755321673074948,0.4933653763389243,Layout-E2E-T6,Layout,-0.017833209031429487,False,False,0.3542775602006465,0.12125460710684832,True,0.4933653763389243,-0.017833209031429487,False,0.328172734234928,0.14735943307256683,True
2018_G_A466.pdf-f42c5f5a-ee2d-4f66-84b0-d3e32153a4e5,end_to_end_vlm,AllFig-E2E,12,11–15,0.5230703247188028,0.4205251396344908,QwenVL-E2E-T6,QwenVL,0.10254518508431198,True,False,0.4111862282671525,0.11188409645165026,True,0.3961827514075243,0.12688757331127848,True,0.4205251396344908,0.10254518508431198,True
2016_G_A433.pdf-ace5f580-0291-4b74-8e8a-3e24514c4563,end_to_end_vlm,AllFig-E2E,13,11–15,0.3657009786606355,0.5714285714285714,Prop-E2E-T6,Proposed,-0.2057275927679359,False,False,0.5714285714285714,-0.2057275927679359,False,0.3531430329581804,0.012557945702455109,True,0.5714285714285714,-0.2057275927679359,False
2016_G_A194.pdf-b86a85b1-ff13-48a6-90bc-0afc1ed6de24,end_to_end_vlm,AllFig-E2E,15,11–15,0.4881696260966395,0.5714285714285714,Prop-E2E-T6,Proposed,-0.0832589453319319,False,False,0.5714285714285714,-0.0832589453319319,False,0.358250110637449,0.1299195154591905,True,0.1204482170035665,0.367721409093073,True
2016_G_B022.pdf-45c1977b-4052-4367-8a33-85a423730b3d,end_to_end_vlm,AllFig-E2E,17,16–20,0.5714285714285714,0.4537482160334583,Layout-E2E-T6,Layout,0.11768035539511312,True,False,0.4110672867100628,0.16036128471850858,True,0.4537482160334583,0.11768035539511312,True,0.2772790948862229,0.2941494765423485,True
2017_G_B248.pdf-ceeb3cc2-f05c-4906-833a-5eb02870f643,end_to_end_vlm,AllFig-E2E,17,16–20,0.6647926699766499,0.6607338203340953,Prop-E2E-T6,Proposed,0.004058849642554541,True,False,0.6607338203340953,0.004058849642554541,True,0.6025641730754444,0.062228496901205466,True,0.5729199749078911,0.09187269506875873,True
2016_G_B044.pdf-bb7acb2d-63cf-48d6-acf7-16e9e75ec953,end_to_end_vlm,AllFig-E2E,17,16–20,0.2610156460092448,0.3209549796261121,Prop-E2E-T6,Proposed,-0.05993933361686726,False,False,0.3209549796261121,-0.05993933361686726,False,0.3141229970463549,-0.05310735103711006,False,0.2839387825910456,-0.022923136581800785,False
2017_G_A156.pdf-526d4bc0-c508-47e0-9181-6bcff011181f,end_to_end_vlm,AllFig-E2E,18,16–20,0.3686505926043448,0.336715260447563,Prop-E2E-T6,Proposed,0.03193533215678179,True,False,0.336715260447563,0.03193533215678179,True,0.2093462714596858,0.159304321144659,True,0.1877176876690295,0.1809329049353153,True
2023_G_C050.pdf-2049a35a-b3ce-49bb-a0db-827272b74086,end_to_end_vlm,AllFig-E2E,19,16–20,0.598311668018472,0.5763894230369567,Layout-E2E-T6,Layout,0.021922244981515293,True,False,0.5426021615888316,0.055709506429640454,True,0.5763894230369567,0.021922244981515293,True,0.5340469907923873,0.06426467722608475,True
